778 10
-5.325 1.471 -2.761 12.438 10.990 0.656 11.632 9.725 10.012 -4.178
-6.489 -2.824 -5.084 8.811 8.081 -7.629 8.254 5.411 7.581 -2.604
-6.595 -0.031 -3.104 7.534 9.532 -4.045 10.524 5.932 10.634 4.391
-6.876 3.903 -1.153 6.865 10.580 -3.672 4.829 9.095 8.930 -4.750
-7.093 0.912 -2.656 7.689 12.308 -4.587 -1.213 -1.830 8.957 0.970
-6.205 0.428 -3.454 11.401 16.764 -0.717 10.338 10.482 10.489 -4.973
0.495 4.514 -2.755 8.000 5.710 -7.019 -0.429 -0.095 4.421 -8.353
7.260 4.965 -3.558 -3.242 4.577 -6.977 1.703 5.630 7.428 -10.695
5.441 2.242 -4.391 -4.233 9.945 -2.429 2.899 1.072 6.741 -4.874
7.617 -1.334 -4.863 -4.721 6.199 -1.415 4.832 -0.855 12.325 -1.342
7.381 -1.945 -5.420 -3.861 5.552 3.758 0.528 2.346 10.831 -2.976
7.275 -0.849 -5.611 -5.856 6.096 4.976 -0.922 3.769 12.625 -1.489
7.247 2.068 -7.527 -4.669 3.771 4.793 0.435 1.439 7.438 2.812
5.901 0.632 -4.450 -2.248 9.876 3.391 -0.676 0.910 2.599 1.410
7.991 0.855 -5.884 -6.403 7.911 3.506 -2.509 2.111 7.289 -3.403
7.322 -1.606 -4.132 -6.199 6.828 1.477 0.947 -0.243 4.338 -3.661
7.018 -0.651 -7.163 -5.024 9.255 4.006 0.622 3.882 9.240 0.543
8.625 -0.582 -8.656 -5.190 11.942 1.862 -0.468 5.555 7.991 3.409
7.670 -1.602 -7.242 -2.590 5.580 0.155 -2.516 2.631 5.021 2.374
1.561 4.593 -6.815 -6.256 9.240 0.968 -2.203 -2.724 0.985 -0.397
2.738 4.208 -8.516 -7.465 12.127 -1.767 4.478 -4.384 7.601 3.777
-1.240 8.604 0.798 -6.990 12.523 -1.689 2.024 -1.743 6.376 -3.124
8.224 10.951 1.894 -1.639 -1.183 2.138 0.002 -8.859 -3.507 -7.478
3.278 9.447 -0.138 3.367 3.366 0.496 2.421 -12.906 -3.063 -7.372
1.655 9.251 2.348 3.873 0.557 -6.436 0.173 -8.470 -4.862 -8.461
3.002 7.854 -0.160 2.018 -1.726 -5.520 -0.358 -10.013 -5.174 -2.377
3.340 5.998 -3.002 2.109 0.823 -0.815 -2.120 -7.646 -2.460 4.677
4.638 4.658 -4.113 -2.429 1.055 1.885 3.845 -3.440 -1.544 -0.945
4.005 5.723 -4.212 -6.453 2.014 2.347 4.595 1.111 -6.209 -5.582
5.599 6.759 -6.462 -8.471 4.148 7.208 5.465 -0.627 -5.434 -5.423
5.728 6.174 -2.756 -12.189 2.191 10.693 7.088 -0.864 -6.804 -10.671
7.709 5.636 -8.273 -11.272 5.909 10.375 9.458 1.371 -7.016 -10.611
5.429 6.769 -8.281 -7.964 4.252 6.620 12.319 0.917 -10.070 -11.812
0.562 4.839 -5.606 -5.232 3.183 6.440 12.218 1.400 -3.640 -4.884
3.920 6.086 -6.382 -9.477 -2.052 4.126 11.714 3.811 -1.592 -10.981
3.059 7.324 -5.611 -6.528 -3.787 -2.164 10.731 -2.464 -5.575 -10.005
2.091 8.104 -2.792 -5.680 1.769 0.806 6.618 3.864 -5.595 -13.289
-6.620 1.058 -2.984 -0.264 6.101 2.362 6.334 2.223 3.922 -2.807
-7.577 -2.100 1.622 1.733 4.180 1.234 5.309 2.702 1.514 -6.859
-1.918 2.730 1.763 -4.376 -1.052 -3.707 10.875 4.676 1.583 -0.113
2.567 6.885 -1.800 -7.057 0.316 -4.467 11.560 12.596 7.322 -0.982
1.828 6.652 -2.075 -6.479 0.140 -2.405 5.859 2.083 -2.473 -9.860
2.002 6.104 -0.395 -5.525 -3.641 -0.666 15.435 7.285 -0.331 -7.910
-4.542 1.606 -0.835 -3.495 -0.576 4.183 12.745 3.289 -1.699 -7.358
0.775 3.927 -2.241 -5.529 2.434 -1.647 10.601 7.258 3.841 -2.692
1.624 7.816 -2.550 -5.170 0.057 1.492 10.847 10.747 8.604 -6.218
1.915 5.286 -3.597 -0.665 -2.001 -3.069 11.666 7.308 4.051 -8.904
1.579 5.263 -1.811 -3.764 3.112 2.895 10.124 6.723 5.086 -7.248
4.268 7.942 -5.099 -7.730 -0.297 -0.500 10.484 6.804 -2.720 -8.145
0.178 6.703 -6.373 -4.550 -0.297 -5.696 9.706 7.528 -2.751 -4.671
0.370 4.656 -3.725 -6.508 0.314 -0.400 6.474 5.989 0.093 -3.622
1.710 5.342 -4.104 -5.844 -0.355 -2.127 3.650 6.031 0.197 -3.098
3.550 2.804 -6.478 -11.032 -0.710 0.276 7.339 5.599 -3.490 -4.310
4.078 5.387 -5.460 -10.177 -3.352 2.474 15.425 0.570 0.105 -2.141
0.292 6.745 -5.387 -8.744 -1.103 7.136 17.074 3.662 -2.798 -3.073
-1.991 5.746 -3.941 -0.606 0.684 8.531 14.844 3.817 -4.931 -1.474
1.205 5.752 -3.059 3.787 8.603 6.717 11.177 0.560 -2.402 4.290
3.681 10.170 4.322 9.706 14.697 2.275 6.412 4.143 5.466 0.707
-0.339 8.024 6.515 14.580 12.320 0.168 6.188 2.761 3.244 3.632
-1.627 7.897 8.180 16.312 15.970 4.757 14.598 4.995 6.523 6.941
-3.420 7.640 5.015 12.915 19.204 5.808 18.983 5.571 4.001 3.930
-0.968 -4.308 -8.334 4.959 19.618 -0.289 2.892 5.099 10.462 12.481
-2.685 -11.549 -11.808 0.852 17.265 -7.355 -1.014 4.810 5.357 10.262
-3.874 -8.607 -11.044 4.961 22.905 -1.979 3.514 9.513 8.113 18.448
-4.942 -5.799 -6.631 3.194 12.652 -0.222 10.582 5.189 1.458 15.570
-3.466 -6.058 -2.036 5.404 11.777 -0.270 5.763 8.104 2.366 4.496
1.550 -3.762 -5.283 -0.326 7.966 3.095 2.344 6.879 2.816 1.049
